representation,coding,train_size,val_size,seed,bach_size,,,train_acc,val_acc,test_acc,epoch,loss=representation,beta
n_bins,max_mem,0.9,0.1,42,8,0,0,0.8333,0.7992,19,8,max_mem,0.9
binary,max_mem,0.9,0.1,42,8,0,0,0.2045,0.2159,19,8,max_mem,0.9
time_window,max_mem,0.9,0.1,42,8,0,0,0.4318,0.3977,19,8,max_mem,0.9
spike_count,max_mem,0.9,0.1,42,8,0,0,0.5152,0.4962,19,8,max_mem,0.9
timesurface,max_mem,0.9,0.1,42,8,0,0,0.1780,0.1818,19,8,max_mem,0.9
n_bins,max_mem,0.9,0.1,13,8,0,0,0.8144,0.7879,17,8,max_mem,0.9
binary,max_mem,0.9,0.1,13,8,0,0,0.1818,0.1705,17,8,max_mem,0.9
time_window,max_mem,0.9,0.1,13,8,0,0,0.4242,0.3977,17,8,max_mem,0.9
spike_count,max_mem,0.9,0.1,13,8,0,0,0.5568,0.5417,17,8,max_mem,0.9
timesurface,max_mem,0.9,0.1,13,8,0,0,0.1174,0.1250,17,8,max_mem,0.9
n_bins,max_mem,0.9,0.1,93,8,0,0,0.8333,0.7765,15,8,max_mem,0.9
binary,max_mem,0.9,0.1,93,8,0,0,0.0909,0.0909,15,8,max_mem,0.9
time_window,max_mem,0.9,0.1,93,8,0,0,0.3636,0.3712,15,8,max_mem,0.9
spike_count,max_mem,0.9,0.1,93,8,0,0,0.5076,0.5114,15,8,max_mem,0.9
timesurface,max_mem,0.9,0.1,93,8,0,0,
n_bins,max_mem,0.9,0.1,45,8,0,0,0.8371,0.8030,19,8,max_mem,0.9
binary,max_mem,0.9,0.1,45,8,0,0,0.0909,0.0909,19,8,max_mem,0.9
time_window,max_mem,0.9,0.1,45,8,0,0,0.4432,0.4356,19,8,max_mem,0.9
spike_count,max_mem,0.9,0.1,45,8,0,0,0.5379,0.5417,19,8,max_mem,0.9
timesurface,max_mem,0.9,0.1,45,8,0,0,0.0909,0.0909,19,8,max_mem,0.9
n_bins,max_mem,0.9,0.1,96,8,0,0,0.8220,0.7992,23,8,max_mem,0.9
binary,max_mem,0.9,0.1,96,8,0,0,0.0947,0.0909,23,8,max_mem,0.9
time_window,max_mem,0.9,0.1,96,8,0,0,0.4697,0.4432,23,8,max_mem,0.9
spike_count,max_mem,0.9,0.1,96,8,0,0,0.6250,0.5644,23,8,max_mem,0.9
timesurface,max_mem,0.9,0.1,96,8,0,0,0.1174,0.1136,23,8,max_mem,0.9
n_bins,max_mem,0.9,0.1,6,8,0,0,0.8447,0.7917,17,8,max_mem,0.9
binary,max_mem,0.9,0.1,6,8,0,0,0.0909,0.0947,17,8,max_mem,0.9
time_window,max_mem,0.9,0.1,6,8,0,0,0.4356,0.4545,17,8,max_mem,0.9
spike_count,max_mem,0.9,0.1,6,8,0,0,0.4962,0.4811,17,8,max_mem,0.9
timesurface,max_mem,0.9,0.1,6,8,0,0,0.0947,0.0909,17,8,max_mem,0.9
n_bins,max_mem,0.9,0.1,98,8,0,0,0.8447,0.7992,19,8,max_mem,0.9
binary,max_mem,0.9,0.1,98,8,0,0,0.2197,0.2045,19,8,max_mem,0.9
time_window,max_mem,0.9,0.1,98,8,0,0,0.3826,0.3977,19,8,max_mem,0.9
spike_count,max_mem,0.9,0.1,98,8,0,0,0.5227,0.5568,19,8,max_mem,0.9
timesurface,max_mem,0.9,0.1,98,8,0,0,0.1477,0.1439,19,8,max_mem,0.9
n_bins,max_mem,0.9,0.1,59,8,0,0,0.8485,0.8295,19,8,max_mem,0.9
binary,max_mem,0.9,0.1,59,8,0,0,0.0985,0.1023,19,8,max_mem,0.9
time_window,max_mem,0.9,0.1,59,8,0,0,0.4015,0.3826,19,8,max_mem,0.9
spike_count,max_mem,0.9,0.1,59,8,0,0,0.5303,0.5265,19,8,max_mem,0.9
timesurface,max_mem,0.9,0.1,59,8,0,0,0.0909,0.0909,19,8,max_mem,0.9
n_bins,max_mem,0.9,0.1,44,8,0,0,0.8182,0.7879,21,8,max_mem,0.9
binary,max_mem,0.9,0.1,44,8,0,0,0.1098,0.1174,21,8,max_mem,0.9
time_window,max_mem,0.9,0.1,44,8,0,0,0.3826,0.4356,21,8,max_mem,0.9
spike_count,max_mem,0.9,0.1,44,8,0,0,0.0,0.0,5,8,max_mem,0.9
timesurface,max_mem,0.9,0.1,44,8,0,0,
#Missing 2 values
