train_data_size,val_data_size,random_seed,representation,train_acc,val_acc,test_acc,num_epochs,batch_size,num_blocks
0.1,0.1,13,binary,0.1666666716337204,0.1944444477558136,0.13636364042758942,25,16,1
0.1,0.1,13,binary,0.3333333432674408,0.24074074625968933,0.3181818127632141,29,16,3
0.1,0.1,13,n_bins,0.0833333358168602,0.23148147761821747,0.1666666716337204,87,16,1
0.1,0.1,13,n_bins,0.4166666567325592,0.17592592537403107,0.17045454680919647,15,16,3
0.1,0.1,42,binary,0.3333333432674408,0.3888888955116272,0.1818181872367859,57,16,1
0.1,0.1,42,binary,0.5,0.14814814925193787,0.13636364042758942,7,16,3
0.1,0.1,42,n_bins,0.3333333432674408,0.3611111044883728,0.17803029716014862,51,16,1
0.1,0.1,42,n_bins,0.4166666567325592,0.1666666716337204,0.15909090638160706,7,16,3
0.1,0.1,93,binary,0.25,0.1944444477558136,0.21212121844291687,7,16,1
0.1,0.1,93,n_bins,0.0833333358168602,0.21296297013759613,0.19696970283985138,31,16,1
0.1,0.1,93,n_bins,0.25,0.1666666716337204,0.2083333283662796,9,16,3
0.4,0.1,13,binary,0.13333334028720856,0.3888888955116272,0.31060606241226196,35,16,1
0.4,0.1,13,binary,0.2666666805744171,0.32407405972480774,0.18939393758773804,11,16,3
0.4,0.1,13,n_bins,0.3333333432674408,0.3888888955116272,0.2954545319080353,37,16,1
0.4,0.1,13,n_bins,0.46666666865348816,0.29629629850387573,0.14393939077854156,11,16,3
0.4,0.1,42,binary,0.2666666805744171,0.28703704476356506,0.280303031206131,45,16,1
0.4,0.1,42,binary,0.46666666865348816,0.29629629850387573,0.18939393758773804,13,16,3
0.4,0.1,42,n_bins,0.46666666865348816,0.29629629850387573,0.3219696879386902,11,16,3
0.4,0.1,42,n_bins,0.800000011920929,0.2777777910232544,0.28787878155708313,27,16,1
0.4,0.1,93,binary,0.5333333611488342,0.3333333432674408,0.3030303120613098,27,16,1
0.4,0.1,93,n_bins,0.06666667014360428,0.3333333432674408,0.23863635957241058,33,16,1
0.4,0.1,93,n_bins,0.20000000298023224,0.32407405972480774,0.3333333432674408,17,16,3
0.5,0.1,13,binary,0.1818181872367859,0.31481480598449707,0.32575756311416626,37,16,1
0.5,0.1,13,binary,0.27272728085517883,0.26851850748062134,0.3181818127632141,11,16,3
0.5,0.1,13,n_bins,0.5454545617103577,0.32407405972480774,0.39393940567970276,27,16,1
0.5,0.1,13,n_bins,0.8181818127632141,0.32407405972480774,0.17424242198467255,9,16,3
0.5,0.1,42,binary,0.3636363744735718,0.3055555522441864,0.31060606241226196,13,16,3
0.5,0.1,42,binary,0.5454545617103577,0.32407405972480774,0.24242424964904785,43,16,1
0.5,0.1,42,n_bins,0.1818181872367859,0.28703704476356506,0.2765151560306549,21,16,1
0.5,0.1,42,n_bins,0.3636363744735718,0.5092592835426331,0.26893940567970276,25,16,3
0.5,0.1,93,binary,0.27272728085517883,0.3611111044883728,0.2651515007019043,31,16,1
0.5,0.1,93,n_bins,0.3636363744735718,0.39814814925193787,0.2613636255264282,11,16,3
0.5,0.1,93,n_bins,0.5454545617103577,0.40740740299224854,0.46212121844291687,47,16,1
0.7,0.1,13,binary,0.0,0.29629629850387573,0.344696968793869,37,16,1
0.7,0.1,13,binary,0.5,0.35185185074806213,0.3787878751754761,15,16,3
0.7,0.1,13,n_bins,0.0,0.34259259700775146,0.3863636255264282,11,16,3
0.7,0.1,13,n_bins,0.0,0.3888888955116272,0.3598484992980957,33,16,1
0.7,0.1,42,binary,0.0,0.3888888955116272,0.280303031206131,9,16,3
0.7,0.1,42,binary,0.5,0.37962964177131653,0.33712121844291687,37,16,1
0.7,0.1,42,n_bins,0.0,0.3888888955116272,0.31060606241226196,13,16,3
0.7,0.1,42,n_bins,0.5,0.3611111044883728,0.1515151560306549,25,16,1
0.7,0.1,93,n_bins,0.5,0.45370370149612427,0.34090909361839294,15,16,3
0.7,0.1,93,n_bins,0.5,0.46296295523643494,0.43560606241226196,35,16,1
0.9,0.1,13,binary,0.30000001192092896,0.4672897160053253,0.4545454680919647,35,16,1
0.9,0.1,13,binary,0.800000011920929,0.84112149477005,0.6098484992980957,33,16,3
0.9,0.1,13,n_bins,0.20000000298023224,0.2710280418395996,0.3068181872367859,11,16,3
0.9,0.1,13,n_bins,0.5,0.44859811663627625,0.35606059432029724,31,16,1
0.9,0.1,42,binary,0.5,0.35514017939567566,0.2651515007019043,25,16,1
0.9,0.1,42,binary,0.800000011920929,0.514018714427948,0.5378788113594055,13,16,3
0.9,0.1,42,n_bins,0.5,0.4953271150588989,0.18939393758773804,31,16,1
0.9,0.1,42,n_bins,0.699999988079071,0.336448609828949,0.2348484843969345,11,16,3
0.9,0.1,93,n_bins,0.30000001192092896,0.29906541109085083,0.10984848439693451,13,16,1
0.9,0.1,93,n_bins,0.6000000238418579,0.4859813153743744,0.5303030014038086,11,16,3
