train_data_size,val_data_size,random_seed,representation,val_rate_acc,val_temp_acc,test_rate_acc,test_temp_acc,num_epochs,batch_size
0.3,0.1,45,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),25,8
0.3,0.1,45,n_bins,0.0,0.0,tensor(0.6439),tensor(0.6098),25,8
0.3,0.1,45,spike_count,0.0,0.0,tensor(0.2462),tensor(0.2424),25,8
0.3,0.1,59,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),27,8
0.3,0.1,59,n_bins,0.0,0.0,tensor(0.6856),tensor(0.6553),27,8
0.3,0.1,59,spike_count,0.0,0.0,tensor(0.2917),tensor(0.2917),27,8
0.3,0.1,6,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),29,8
0.3,0.1,6,n_bins,0.0,0.0,tensor(0.7424),tensor(0.7008),29,8
0.3,0.1,6,spike_count,0.0,0.0,tensor(0.2765),tensor(0.2803),29,8
0.3,0.1,93,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),13,8
0.3,0.1,93,n_bins,0.0,0.0,tensor(0.5985),tensor(0.5606),13,8
0.3,0.1,93,time_window,0.0,0.0,tensor(0.1705),tensor(0.1553),13,8
0.3,0.1,96,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),19,8
0.3,0.1,96,n_bins,0.0,0.0,tensor(0.6250),tensor(0.6061),19,8
0.3,0.1,96,spike_count,0.0,0.0,tensor(0.2917),tensor(0.3068),19,8
0.3,0.1,98,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),27,8
0.3,0.1,98,n_bins,0.0,0.0,tensor(0.7235),tensor(0.6970),27,8
0.3,0.1,98,spike_count,0.0,0.0,tensor(0.2197),tensor(0.2235),27,8
0.4,0.1,13,binary,0.0,0.0,tensor(0.2008),tensor(0.1932),29,8
0.4,0.1,13,n_bins,0.0,0.0,tensor(0.7273),tensor(0.6894),29,8
0.4,0.1,13,spike_count,0.0,0.0,tensor(0.4129),tensor(0.4091),29,8
0.4,0.1,42,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),21,8
0.4,0.1,42,n_bins,0.0,0.0,tensor(0.7197),tensor(0.6174),21,8
0.4,0.1,42,spike_count,0.0,0.0,tensor(0.3068),tensor(0.3068),21,8
0.4,0.1,44,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),35,8
0.4,0.1,44,n_bins,0.0,0.0,tensor(0.6629),tensor(0.6629),35,8
0.4,0.1,44,spike_count,0.0,0.0,tensor(0.3258),tensor(0.3144),35,8
0.4,0.1,45,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),19,8
0.4,0.1,45,n_bins,0.0,0.0,tensor(0.7159),tensor(0.7045),19,8
0.4,0.1,45,spike_count,0.0,0.0,tensor(0.2917),tensor(0.2917),19,8
0.4,0.1,59,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),17,8
0.4,0.1,59,n_bins,0.0,0.0,tensor(0.6818),tensor(0.6515),17,8
0.4,0.1,59,spike_count,0.0,0.0,tensor(0.3333),tensor(0.3333),17,8
0.4,0.1,6,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),23,8
0.4,0.1,6,n_bins,0.0,0.0,tensor(0.7273),tensor(0.6364),23,8
0.4,0.1,6,spike_count,0.0,0.0,tensor(0.3902),tensor(0.3864),23,8
0.4,0.1,93,binary,0.0,0.0,tensor(0.1326),tensor(0.1174),27,8
0.4,0.1,93,n_bins,0.0,0.0,tensor(0.7197),tensor(0.6667),27,8
0.4,0.1,93,spike_count,0.0,0.0,tensor(0.2803),tensor(0.2803),27,8
0.4,0.1,96,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),19,8
0.4,0.1,96,n_bins,0.0,0.0,tensor(0.7424),tensor(0.7083),19,8
0.4,0.1,96,spike_count,0.0,0.0,tensor(0.3447),tensor(0.3409),19,8
0.4,0.1,98,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),11,8
0.4,0.1,98,n_bins,0.0,0.0,tensor(0.5795),tensor(0.5530),11,8
0.4,0.1,98,spike_count,0.0,0.0,tensor(0.2614),tensor(0.2689),11,8
0.5,0.1,13,binary,0.0,0.0,tensor(0.0985),tensor(0.0985),29,8
0.5,0.1,13,n_bins,0.0,0.0,tensor(0.7955),tensor(0.7386),29,8
