train_data_size,val_data_size,random_seed,representation,train_acc,val_acc,test_acc,num_epochs,batch_size
0.9,0.1,13,binary,0.8604123592376709,0.7395659685134888,0.814393937587738,11,16
0.9,0.1,13,n_bins,0.8844329714775085,0.7479131817817688,0.7386363744735718,11,16
0.9,0.1,13,spike_count,0.9482474327087402,0.8901996612548828,0.8409090638160706,21,16
0.9,0.1,13,timesurface,0.8979381322860718,0.8501483798027039,0.8787878751754761,13,16
0.9,0.1,13,time_window,0.9128866195678711,0.8679525256156921,0.8901515007019043,13,16
0.9,0.1,42,binary,0.9021263122558594,0.843478262424469,0.8295454382896423,17,16
0.9,0.1,42,n_bins,0.8703608512878418,0.75,0.7803030014038086,9,16
0.9,0.1,42,spike_count,0.866752564907074,0.8673912882804871,0.8939393758773804,9,16
0.9,0.1,42,timesurface,0.844072163105011,0.8500000238418579,0.8446969985961914,9,16
0.9,0.1,42,time_window,0.8908247351646423,0.9100528955459595,0.9166666865348816,11,16
0.9,0.1,44,binary,0.843384861946106,0.7464589476585388,0.7765151262283325,13,16
0.9,0.1,44,n_bins,0.8994200825691223,0.7673913240432739,0.810606062412262,17,16
0.9,0.1,44,spike_count,0.9159793853759766,0.862017810344696,0.8674242496490479,13,16
0.9,0.1,44,timesurface,0.8869072198867798,0.8324515223503113,0.875,11,16
0.9,0.1,44,time_window,0.9333763122558594,0.8761261105537415,0.8863636255264282,17,16
0.9,0.1,45,binary,0.8662886619567871,0.7612687945365906,0.7992424368858337,11,16
0.9,0.1,45,n_bins,0.8645361065864563,0.6861435770988464,0.7386363744735718,11,16
0.9,0.1,45,spike_count,0.8752577304840088,0.8304347991943359,0.9015151262283325,9,16
0.9,0.1,45,timesurface,0.8930928111076355,0.8395061492919922,0.8901515007019043,11,16
0.9,0.1,45,time_window,0.9296759963035583,0.8681178092956543,0.8863636255264282,15,16
0.9,0.1,59,binary,0.8210051655769348,0.7479674816131592,0.7878788113594055,9,16
0.9,0.1,59,n_bins,0.8546391725540161,0.7245408892631531,0.7765151262283325,11,16
0.9,0.1,59,spike_count,0.9102233648300171,0.8664688467979431,0.8712121248245239,13,16
0.9,0.1,59,timesurface,0.9228737354278564,0.8930180072784424,0.8674242496490479,17,16
0.9,0.1,59,time_window,0.8731958866119385,0.8804348111152649,0.8371211886405945,9,16
0.9,0.1,6,binary,0.9065291881561279,0.7594936490058899,0.7840909361839294,19,16
0.9,0.1,6,n_bins,0.7881443500518799,0.6443089246749878,0.7613636255264282,9,16
0.9,0.1,6,spike_count,0.8804123997688293,0.852173924446106,0.8484848737716675,9,16
0.9,0.1,6,timesurface,0.9176730513572693,0.8770806789398193,0.8977272510528564,15,16
0.9,0.1,6,time_window,0.9163230061531067,0.8946587443351746,0.9015151262283325,13,16
0.9,0.1,93,binary,0.9075601100921631,0.7903682589530945,0.8560606241226196,13,16
0.9,0.1,93,n_bins,0.9166666865348816,0.801699697971344,0.8522727489471436,13,16
0.9,0.1,93,spike_count,0.8946391940116882,0.8765432238578796,0.7992424368858337,11,16
0.9,0.1,93,timesurface,0.8525773286819458,0.789130449295044,0.8560606241226196,9,16
0.9,0.1,93,time_window,0.880515456199646,0.8271604776382446,0.8787878751754761,11,16
0.9,0.1,96,binary,0.8874815702438354,0.7195571660995483,0.8409090638160706,15,16
0.9,0.1,96,n_bins,0.8422680497169495,0.6829268336296082,0.7992424368858337,9,16
0.9,0.1,96,spike_count,0.9142268300056458,0.8306878209114075,0.875,11,16
0.9,0.1,96,timesurface,0.9061855673789978,0.801536500453949,0.8712121248245239,15,16
0.9,0.1,96,time_window,0.873711347579956,0.791304349899292,0.875,9,16
0.9,0.1,98,binary,0.8743299245834351,0.7629382014274597,0.8484848737716675,11,16
0.9,0.1,98,n_bins,0.914175271987915,0.801699697971344,0.8446969985961914,13,16
0.9,0.1,98,spike_count,0.8985567092895508,0.841269850730896,0.8787878751754761,11,16
0.9,0.1,98,timesurface,0.8512886762619019,0.832608699798584,0.8825757503509521,9,16
0.9,0.1,98,time_window,0.9024913907051086,0.859050452709198,0.9015151262283325,13,16
