train_data_size,val_data_size,random_seed,representation,val_rate_acc,val_temp_acc,test_rate_acc,test_temp_acc,num_epochs,batch_size
0.3,0.1,44,binary,0.0,0.0,tensor(0.0909),tensor(0.0909),13,8
0.3,0.1,44,n_bins,0.0,0.0,tensor(0.6174),tensor(0.5606),13,8
0.3,0.1,44,time_window,0.0,0.0,tensor(0.4659),tensor(0.4053),13,8
0.3,0.1,45,binary,0.0,0.0,tensor(0.1098),tensor(0.1098),21,8
0.3,0.1,45,n_bins,0.0,0.0,tensor(0.6553),tensor(0.6288),21,8
0.3,0.1,45,spike_count,0.0,0.0,tensor(0.5871),tensor(0.5189),21,8
0.3,0.1,45,time_window,0.0,0.0,tensor(0.4697),tensor(0.4659),21,8
0.3,0.1,59,binary,0.0,0.0,tensor(0.1061),tensor(0.1061),19,8
0.3,0.1,59,n_bins,0.0,0.0,tensor(0.6553),tensor(0.5947),19,8
0.3,0.1,59,time_window,0.0,0.0,tensor(0.4735),tensor(0.4545),19,8
0.3,0.1,6,binary,0.0,0.0,tensor(0.2121),tensor(0.2083),19,8
0.3,0.1,6,n_bins,0.0,0.0,tensor(0.6477),tensor(0.6326),19,8
0.3,0.1,6,spike_count,0.0,0.0,tensor(0.5871),tensor(0.5303),19,8
0.3,0.1,6,time_window,0.0,0.0,tensor(0.4508),tensor(0.4432),19,8
0.3,0.1,93,binary,0.0,0.0,tensor(0.0985),tensor(0.0985),17,8
0.3,0.1,93,n_bins,0.0,0.0,tensor(0.6288),tensor(0.5568),17,8
0.3,0.1,93,time_window,0.0,0.0,tensor(0.4962),tensor(0.4924),17,8
0.3,0.1,96,binary,0.0,0.0,tensor(0.1818),tensor(0.1780),25,8
0.3,0.1,96,n_bins,0.0,0.0,tensor(0.6515),tensor(0.5682),25,8
0.3,0.1,96,time_window,0.0,0.0,tensor(0.4394),tensor(0.4432),25,8
0.3,0.1,98,binary,0.0,0.0,tensor(0.1098),tensor(0.1136),13,8
0.3,0.1,98,n_bins,0.0,0.0,tensor(0.5985),tensor(0.5417),13,8
0.3,0.1,98,time_window,0.0,0.0,tensor(0.5152),tensor(0.4432),13,8
0.4,0.1,13,binary,0.0,0.0,tensor(0.1288),tensor(0.1250),17,8
