name,train_data_size,val_data_size,random_seed,representation,train_acc,val_acc,test_acc,num_epochs,batch_size,target_frames,pooling_mode
time_window_09_93_8_600_max,0.9,0.1,93,time_window,1.0,0.9813084006309509,0.9053030014038086,14,8,600,max
time_window_09_93_8_700_max,0.9,0.1,93,time_window,1.0,0.9532710313796997,0.8901515007019043,10,8,700,max
time_window_09_93_8_800_max,0.9,0.1,93,time_window,0.9958763122558594,0.9345794320106506,0.9090909361839294,8,8,800,max
time_window_09_93_8_200_avg,0.9,0.1,93,time_window,1.0,0.9439252614974976,0.8939393758773804,10,8,200,avg
time_window_09_93_8_300_avg,0.9,0.1,93,time_window,1.0,0.9345794320106506,0.9053030014038086,16,8,300,avg
time_window_09_93_8_400_avg,0.9,0.1,93,time_window,1.0,0.9719626307487488,0.8939393758773804,12,8,400,avg
time_window_09_93_8_500_avg,0.9,0.1,93,time_window,1.0,0.9813084006309509,0.8825757503509521,14,8,500,avg
time_window_09_93_8_600_avg,0.9,0.1,93,time_window,0.9989690780639648,0.9439252614974976,0.875,8,8,600,avg
time_window_09_93_8_700_avg,0.9,0.1,93,time_window,0.9793814420700073,0.9158878326416016,0.8295454382896423,8,8,700,avg
time_window_09_93_8_800_avg,0.9,0.1,93,time_window,1.0,0.9532710313796997,0.8901515007019043,10,8,800,avg
time_window_09_93_8_200_linear,0.9,0.1,93,time_window,1.0,0.9532710313796997,0.9090909361839294,12,8,200,linear
time_window_09_93_8_300_linear,0.9,0.1,93,time_window,1.0,0.9626168012619019,0.8712121248245239,12,8,300,linear
time_window_09_93_8_400_linear,0.9,0.1,93,time_window,1.0,0.9532710313796997,0.8939393758773804,12,8,400,linear
time_window_09_93_8_500_linear,0.9,0.1,93,time_window,0.9938144087791443,0.8785046935081482,0.8068181872367859,8,8,500,linear
time_window_09_93_8_600_linear,0.9,0.1,93,time_window,1.0,0.9345794320106506,0.9128788113594055,10,8,600,linear
time_window_09_93_8_700_linear,0.9,0.1,93,time_window,1.0,0.9345794320106506,0.875,12,8,700,linear
time_window_09_93_8_800_linear,0.9,0.1,93,time_window,1.0,0.9626168012619019,0.9053030014038086,10,8,800,linear
time_window_09_45_8_200_max,0.9,0.1,45,time_window,1.0,0.9345794320106506,0.8787878751754761,6,8,200,max
time_window_09_45_8_300_max,0.9,0.1,45,time_window,1.0,0.9532710313796997,0.8939393758773804,16,8,300,max
time_window_09_45_8_400_max,0.9,0.1,45,time_window,1.0,0.9719626307487488,0.875,12,8,400,max
time_window_09_45_8_500_max,0.9,0.1,45,time_window,1.0,0.9532710313796997,0.9015151262283325,8,8,500,max
time_window_09_45_8_600_max,0.9,0.1,45,time_window,0.9989690780639648,0.9626168012619019,0.8787878751754761,8,8,600,max
time_window_09_45_8_700_max,0.9,0.1,45,time_window,0.9979381561279297,0.9532710313796997,0.8712121248245239,6,8,700,max
time_window_09_45_8_800_max,0.9,0.1,45,time_window,1.0,0.9813084006309509,0.9128788113594055,10,8,800,max
time_window_09_45_8_200_avg,0.9,0.1,45,time_window,1.0,0.9532710313796997,0.8901515007019043,12,8,200,avg
time_window_09_45_8_300_avg,0.9,0.1,45,time_window,0.9762886762619019,0.9626168012619019,0.8598484992980957,6,8,300,avg
time_window_09_45_8_400_avg,0.9,0.1,45,time_window,1.0,0.9626168012619019,0.875,12,8,400,avg
time_window_09_45_8_500_avg,0.9,0.1,45,time_window,1.0,0.9813084006309509,0.875,14,8,500,avg
time_window_09_45_8_600_avg,0.9,0.1,45,time_window,1.0,0.9626168012619019,0.9053030014038086,12,8,600,avg
time_window_09_45_8_700_avg,0.9,0.1,45,time_window,1.0,0.9719626307487488,0.8939393758773804,12,8,700,avg
time_window_09_45_8_800_avg,0.9,0.1,45,time_window,1.0,0.9719626307487488,0.9015151262283325,12,8,800,avg
time_window_09_45_8_200_linear,0.9,0.1,45,time_window,1.0,0.9906542301177979,0.8560606241226196,10,8,200,linear
time_window_09_45_8_300_linear,0.9,0.1,45,time_window,0.9989690780639648,0.9813084006309509,0.8939393758773804,10,8,300,linear
time_window_09_45_8_400_linear,0.9,0.1,45,time_window,1.0,0.9626168012619019,0.8977272510528564,10,8,400,linear
time_window_09_45_8_500_linear,0.9,0.1,45,time_window,1.0,0.9719626307487488,0.8825757503509521,10,8,500,linear
time_window_09_45_8_600_linear,0.9,0.1,45,time_window,1.0,0.9439252614974976,0.9053030014038086,10,8,600,linear
time_window_09_45_8_700_linear,0.9,0.1,45,time_window,0.9876288771629333,0.9065420627593994,0.8219696879386902,6,8,700,linear
time_window_09_45_8_800_linear,0.9,0.1,45,time_window,1.0,0.9719626307487488,0.8977272510528564,12,8,800,linear
time_window_09_96_8_200_max,0.9,0.1,96,time_window,1.0,0.9252336621284485,0.8636363744735718,12,8,200,max
time_window_09_96_8_300_max,0.9,0.1,96,time_window,1.0,0.9158878326416016,0.8598484992980957,10,8,300,max
time_window_09_96_8_400_max,0.9,0.1,96,time_window,1.0,0.9345794320106506,0.8522727489471436,14,8,400,max
time_window_09_96_8_500_max,0.9,0.1,96,time_window,1.0,0.9345794320106506,0.8409090638160706,14,8,500,max
time_window_09_96_8_600_max,0.9,0.1,96,time_window,1.0,0.9345794320106506,0.9015151262283325,10,8,600,max
time_window_09_96_8_700_max,0.9,0.1,96,time_window,1.0,0.9345794320106506,0.8939393758773804,12,8,700,max
time_window_09_96_8_800_max,0.9,0.1,96,time_window,1.0,0.8971962332725525,0.8939393758773804,10,8,800,max
time_window_09_96_8_200_avg,0.9,0.1,96,time_window,1.0,0.9065420627593994,0.9015151262283325,8,8,200,avg
time_window_09_96_8_300_avg,0.9,0.1,96,time_window,1.0,0.9158878326416016,0.9090909361839294,10,8,300,avg
time_window_09_96_8_400_avg,0.9,0.1,96,time_window,0.9824742078781128,0.9252336621284485,0.875,8,8,400,avg
time_window_09_96_8_500_avg,0.9,0.1,96,time_window,1.0,0.9158878326416016,0.8787878751754761,12,8,500,avg
time_window_09_96_8_600_avg,0.9,0.1,96,time_window,1.0,0.9439252614974976,0.8863636255264282,12,8,600,avg
time_window_09_96_8_700_avg,0.9,0.1,96,time_window,1.0,0.9345794320106506,0.8674242496490479,46,8,700,avg
time_window_09_96_8_800_avg,0.9,0.1,96,time_window,1.0,0.9158878326416016,0.875,12,8,800,avg
time_window_09_96_8_200_linear,0.9,0.1,96,time_window,0.9969072341918945,0.9065420627593994,0.8712121248245239,10,8,200,linear
time_window_09_96_8_300_linear,0.9,0.1,96,time_window,0.9969072341918945,0.8878504633903503,0.8787878751754761,8,8,300,linear
time_window_09_96_8_400_linear,0.9,0.1,96,time_window,1.0,0.9065420627593994,0.8712121248245239,12,8,400,linear
time_window_09_96_8_500_linear,0.9,0.1,96,time_window,1.0,0.9345794320106506,0.8825757503509521,16,8,500,linear
time_window_09_96_8_600_linear,0.9,0.1,96,time_window,1.0,0.9252336621284485,0.8863636255264282,10,8,600,linear
time_window_09_96_8_700_linear,0.9,0.1,96,time_window,1.0,0.9439252614974976,0.8939393758773804,10,8,700,linear
time_window_09_96_8_800_linear,0.9,0.1,96,time_window,1.0,0.9439252614974976,0.9090909361839294,14,8,800,linear
time_window_09_6_8_200_max,0.9,0.1,6,time_window,1.0,0.9252336621284485,0.8598484992980957,8,8,200,max
time_window_09_6_8_300_max,0.9,0.1,6,time_window,0.9979381561279297,0.9532710313796997,0.8484848737716675,8,8,300,max
